taxon
AlbanianGheg
AlbanianStandard
AncientGreek
AngloNorman
ArmenianEastern
ArmenianWestern
Avestan
Bactrian
Belarusian
Bengali
Bhojpuri
BretonGwened
BretonTreger
Bulgarian
Catalan
ClassicalArmenian
Czech
Danish
Dutch
Elfdalian
English
Faroese
Flemish
FrancoProvencal
French
Frisian
Friulian
GaelicIrish
GaelicManx
GaelicScottish
German
GermanBernese
Gothic
Greek
GreekCappodocian
GreekCypriot
GreekItaliot
GreekPontic
Hindi
Hittite
Icelandic
Italian
KalasaAlaNiseigram
Kamviri
Kashmiri
Kashubian
KataVariEastern
KataVariKtivi
Khotanese
Kumzari
Kurmanji
Ladin
Latgalian
Latin
Latvian
Lithuanian
Luvian
Luxembourgish
Macedonian
MacedonianSuho
MacedonianVisoka
Magahi
Maithili
Marathi
MiddleBreton
MiddlePersian
MiddleSerboCroatChakavian
MiddleSerboCroatKajkavian
MiddleSerboCroatShtokavian
MiddleWelsh
NTGreek
Neapolitan
Nepali
NorwegianRiksmal
OldChurchSlavonic
OldCzech
OldEnglish
OldFrench
OldHighGerman
OldIrish
OldNorse
OldNovgorod
OldPolish
OldPrussian
OldSaxon
OldSpanish
OldSwedish
OsseticDigor
OsseticIron
Pali
Palula
Parthian
Persian
Polabian
Polish
Portuguese
Romanian
Russian
Rusyn
SanuViriWama
SardinianLogudoro
SardinianNuoro
SerboCroatian
Sinhalese
Slovak
SloveneHistorical
SloveneKostel
Slovenian
SorbianLower
SorbianUpper
Spanish
Swedish
TocharianA
TocharianB
TsakonianPeloponnese
TsakonianPropontis
Ukrainian
Urdu
VasiVariPaski
VedicEarly
Walloon
WelshNorth
