Grapheme	IPA
.	NULL
ˈ	NULL
ˌ	NULL
*	NULL
?	NULL
H	⁵⁵
L	¹¹
HL	⁵¹
H(L)	⁵⁵¹
LH	¹⁵
̂ʲ	ĭ̥
̂ʷ	ŭ̥
Ø	Ø
Øʲ	Øʲ
Øˠ	Øˠ
-	+
a	a
aa	a a
aː	aː
aˑ	aˑ
a˞	a˞
a˞ː	a˞ː
àː	àː
â	â
âː	âː
ǎː	ǎː
a̞	a̞
a̠	a̠
a̠ˁ	a̠ˤ
a̤	a̤
a̤ː	a̤ː
a̯	a̯
a̰ː	a̰ː
a͜iː	aiː
a͡i	ai
ɑ͡o	ao
b	b
bb	bː
bs	b s
bw	b w
bʐ	b ʐ
bʰ	bʱ
bʱ	bʱ
bʲ	bʲ
bʷ	bʷ
bː	bː
bˠ	bˠ
b̥	b̥
b̥ʰ	b̥ʱ
c	c
cc	cː
ccʰ	cʰː
cʰ	cʰ
cːʰ	cʰː
cʼ	cʼ
d	d
dd	dː
dd͡ʒ	dʒː
ds	d s
dw	d w
dʐ	ɖʐ
dʑ	dʑ
dʒ	dʒ
dʒdʒ	dʒ dʒ
dʒʰ	dʒʱ
dʒʱ	dʒʱ
dʒʲ	dʒʲ
dʰ	dʱ
dʱ	dʱ
dʲ	dʲ
dː	dː
dˠ	dˠ
d̚	d̚
d̠	d̠
d̠ʒ	dʒ
d̥	d̥
d̥ʐ̥	ɖʐ̥
d̥ʒ	dʒ̊
d̥ʒː	dʒ̊ː
d̥ʰ	d̥ʱ
d̥ː	d̥ː
d̪	d̪
d̪ʰ	d̪ʱ
d̪ʱ	d̪ʱ
d̪ʲ	d̪ʲ
d̪ʷ	d̪ʷ
d̪ˠ	d̪ˠ
d̪̥ʲ	d̪̥ʲ
d̻	d̻
d͜z	dz
d͜ʒ	dʒ
d͡z	dz
d͡ʑ	dʑ
d͡ʒ	dʒ
d͡ʒw	dʒ w
d͡ʒː	dʒː
e	e
ee	eː
eˀ	eˀ
eː	eː
eˑ	eˑ
e˞	e˞
ěː	ěː
e̜ː	e̜ː
e̝	e̝
e̝ː	e̝ː
e̞	e̞
e̞ː	e̞ː
e̞ˑ	e̞ˑ
e̤	e̤
e̤ː	e̤ː
e̤ˑ	e̤ˑ
e̯	e̯
e͡ɪ	eɪ
f	f
ff	fː
fs	f s
fw	f w
fʂ	f ʂ
fʃ	f ʃ
fʲ	fʲ
fʷ	fʷ
fː	fː
fˠ	fˠ
h	h
hh	hː
hs	h s
hsw	h s w
hw	h w
hʲ	hʲ
