Cognateset_ID,SourceCognateset_ID,Comment,Source_languoid,Source_form,Parallel_loan_event
2551,,"Cf. OHG scina 'thin strip, shin'",Germanic,*skĭna-,false
5196,5204,,Gothic?,hûs,false
918,,,Spanish,empujar,false
1017,,gen.sg. of Lat. pondus 'weight',Latin,ponderis,false
8360,,'hunt',Italian,caccia,false
1565,,,Latin,asper,false
2005,,,Arabic,,false
8362,6595,,Italian,destra,false
1843,,,Arabic,هواء,true
5354,,,Scots English,burn,false
1042,,,Old Low Franconian,*bōtan,false
88,,,Persian,pōz,true
975,,over Scandinavian krôkr,Old French,croc,false
8363,8289,'yellow',Italian,giallo,false
5859,3139,,Low German,made,false
8475,3747,,Wakhi,,false
5765,151,,Persian,درخت,true
5609,,,,,false
1344,,,Old French,diguer,false
1408,,,Frankish,*markôn,false
5764,500,,Old French,liem,false
5293,220,Acc. Sg,Latin,piscem,false
4985,,Cf. Georgiev.,Proto-Bulgarian,?,false
5506,21,,Iranic,*sabāka-,false
5574,2235,,(Low) German,voll,false
3112,,,Arabic,,true
2643,,,Livonian,puk'k',false
5593,2457,,Latin,cornu,false
5502,1441,,German,schmutzig,false
1995,,,Arabic,,true
1058,,,Latin,quiēscō,false
2323,,one parallel loan or loan into e.g. Persian and parallel loan from there?,Arabic,,true
3871,,,Romance or Greek,*rombulus or ῥύμβος,false
1685,182,,Latin,cortex,false
3229,,,Turkic,,true
2423,,,Arabic,ˁawrāt ?,true
5559,703,,Hindi,MECHLI,false
5736,301,,Middle Low German,glatt,true
3284,,,East Caucasian,,false
5662,271,,Middle Low German,trecken,true
9255,,,Arabic,خلق,false
3826,,,Latin,coccum,false
4672,,,Arabic,milāḥa,true
3241,,,South or East Caucasian,,false
3092,,,Persian,farāḵẖ,false
5674,276,,Low German,recht,false
5501,1954,,Arabic,,true
5713,2013,,Persian,,false
5542,1312,,Low German,vruchten,false
5295,,"back, spine",Latin,spīna,false
5618,255,,German,leben,false
5546,999,,Latin,pluma,false
2518,,,Old Norse,hitta,false
5714,289,,Low German,sât,false
5472,1114,Slav diminutive *kostъka for 'bone'.,Slavic,*kostъka,false
5709,465,,German,kratzen,false
5645,5034,,Persian,,true
5619,72,,Persian,,true
2374,,,Arabic,insān,true
5712,2011,,Persian,دريا,true
5785,5101,,Persian,par,false
8481,2274,,Iranic,,false
4210,,,,,false
2981,,,Livonian,nuja,false
5755,1446,,,,true
2815,,,Arabic,qarīb,false
4370,,,Latin,coccum,false
5551,1313,,Low German,kempen,false
5862,747,,Persian,سال,true
5648,5064,,,,true
5549,700,,Persian,,true
5722,119,,Persian,pōst,true
5720,641,,Germanic,*skurtaz,false
5565,41,,Persian,گل,true
5787,1336,,Old Norse,vængr,false
5485,5081,,Pali,sītala,false
5627,78,,Persian,گوشت,true
5716,115,,,,true
5723,644,,Syriac,meškā,false
5863,1195,,Russian,год,false
5654,915,,,,false
4350,,,Latin,bēstia,false
5650,2826,Either from Old Norse or Swedish,,,false
5582,3171,,Italian,testa,false
5718,2014,,Indo-Aryan,,true
9261,,,Lahnda,laṇdā,false
5620,718,,Persian,,true
5579,1588,,Polish,wątroba,false
1327,,,Low German,lucht,false
5776,334,,Middle Low German,waschen,false
5567,223,,,,false
4991,,,,,true
4725,,,,,false
5629,2232,,Low German,mân,false
3855,,,Latin,pōmum,false
4950,,,,,true
4389,,,Latin,*pēsum (pēnsum),false
5568,223,,Old French,flor,false
3283,,,Arabic,ādam,true
4838,,cf. German 'Stamm',German,stomm,false
5621,718,,Sanskrit,,true
3674,,,Arabic,,false
5779,338,,Early New Persian,safēd,true
5640,83,,Persian,,true
3412,,,Old_Turkic,arqa,true
4599,,,Sanskrit,,false
5710,2889,,Old French,escraper,false
5869,,,Italian,lući,false
5102,,,Arabic,,false
4931,885,,Vulgar Latin,*virdis,false
5642,2807,,Latin,strictus,false
5638,2004,,Persian,*daf(an),true
8125,,,Romance,*pluverem,false
5677,2652,,Middle Low German,,false
5664,1399,,Latin,pulsus,false
5487,2294,,Low German,rekenen,false
5643,263,,Latin,angustus,false
5655,93,,,,false
6064,,,Italian,petto,false
5443,,,Tocharian B,oko,false
6058,46,Cf. Sogd. mγδʾk,Iranic,,false
6284,,,Medieval Greek,ἔσωθ(εν) -ικός,false
5660,270,,Middle Low German,,true
5511,24,,Persian,,false
5301,227,,Italian,frutto,false
5884,,,Turkish,toz,true
6063,1172,,Church Slavonic,нєбо,false
5216,,,Turkish,kanca,false
4889,2190,,Iranic,,false
6084,,,Turkish,avla-,false
6088,1117,,Church Slavonic,облакъ,true
4195,,,Low German,brav,true
6085,,,Turkish,deniz,false
1273,,,Greek: Ancient,τόρνος / tórnos,false
5725,5086,,Polish,skóra,true
6092,,,German,rech(n)en,false
6090,2294,,Low German,reken(en),false
6240,,,Latin,cella,false
6106,6092,,Polish,rachować,false
5577,231,,Low German,grö̂ne,false
6213,,,French,jambe,false
6167,,,Italian,,false
3277,,,,,false
5597,243,,Low German,,false
6162,,Italian meaning 'hip',Italian,anca,false
6264,5697,,Low German,runt,false
8061,,,Occitan,tenalha,false
6266,,,Middle English,battle,false
6182,211,Definite article analysed as part of the stem in the borrowed form.,Italian,(l')occhio,false
6256,,,Latin,virga,false
6263,1172,,Tocharian A,iprer,false
1455,9579,,Latin,pullus,false
6224,,,Venetian,rozza,false
6306,,,Latin,fortis,false
6267,,"Unclear etymology, probably from Latin",Latin,squāma,false
6223,,,Turkish,kelle,false
6312,,,Latin,hospitium,false
6308,,,Latin,coxa,false
8163,,,Persian,,false
6303,2637,Cf. Rom. luptă,Balkan Romance,,false
6412,5497,,English,count,false
6307,,,Latin,līmāre,false
6391,,,North Italian,,false
6395,,,North Italian,,false
6418,,,Slavic,*n’uxati,false
6389,,,North Italian,,false
6398,,,Middle High German,,false
6433,,,Middle Greek,φρίκη,false
6386,,,,,false
6381,5231,,English,carry,false
6390,,,Old High German,grīfan,false
6393,915,,Italian,persona,false
6388,,,Middle High German,,false
6402,,,Italian or Latin,combatt(u)ere,false
6443,,,,,true
8224,2001,,Persian,,true
8161,,,Persian,,true
6449,,,Slavic,zapadati,false
5903,,,Turkish,sert,false
8379,,"'to draw lines, make lines'",Italian,rigare,false
6518,,,Greek: Ancient,χηλή,false
6517,,,Andalusian Arabic,ġárfa,false
6555,131,,Persian,,true
6577,,"насип 'bank, embankment'",Bulgarian,nasip,false
6605,,,Pashto,,false
111,,,Arabic,baḥr,false
5857,5157,,Church Slavonic,сладъкъ,false
6579,,,German,schwach,false
6635,,,Latin,galbinus,false
6545,,,Slavic,prachŭ,false
5467,687,"Turner has ""Persian loanword"" > Hindi (1931: 124)",Persian,,true
6699,,,Greek,φρίκη / phríkē,false
6687,,,Slavic,umoriti,false
6705,,,South Slavic,mirosati,false
6689,,,Hungarian,gond,false
6735,,,Latin,baptisma,false
6726,6725,,Persian,پنجه,true
6190,,,Greek: Medieval,κατσηφ-άρα,false
9543,,,English,dust,false
6723,760,,Sanskrit,megha-,true
6701,,,Slavic,loviti,false
6756,,,,,false
6743,,,Latin,permedius,false
6849,,,Finnic,,false
9544,,Loanword presumably via English or French,,,false
6882,,,French,plume,true
