ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Gloss,phon_form,Phonemic,Phonemic_Segments,native_script,url
3-63-1,,3,63,jap,jap,,"Inf = dhan. < PAlb *en-apa with filling hiatus, or from analogy with jam. Orel states this form to be parallel to IE *ap-/*ep- although Holm strongly disputes this. He claims no IE cognates outside Alb. Aor = dhase.",,,,,,,,,
3-64-1,,3,64,mirë,mirë,,cf. Slav *mirъ 'peace'.,,,,,,,,,
3-65-1,,3,65,bar,bar,,,,,,,,,,,
3-66-1,,3,66,jeshil,jeshil,,Borrowed < Turkish yeşil 'id.',,,,,,,,,
3-69-1,,3,69,dorë,dorë,,"A singularised neut. plural PAlb *dara < IE *ghesr-, related to Gk χεîρ, Hitt. keššar, Toch A tsar-, Toch B sar-, Arm jern, all with identical meanings.",,,,,,,,,
3-71-1,,3,71,krye,krye,,"Together wirh Gr. κρᾱνίον, Ved. śīrṣṇá- going back to PIE *k̑roh₂sno- 'head'.",,,,,,,,,
3-72-1,,3,72,(n)dëgoj,(n)dëgoj,,"< Lat. intelligere 'to perceive'. More evident in dialect forms, such as this one (ndëgoj), Çamic endiglo and Old Geg (Buzuku) ëndiglonj.",,,,,,,,,
3-73-1,,3,73,zemër,zemër,,Also 'middle'. A difficult word without any reliable explanation.,,,,,,,,,
3-74-1,,3,74,randë,randë,,,,,,,,,,,
3-76-1,,3,76,rraf,rraf,,"'hit, beat'",,,,,,,,,
3-80-1,,3,80,gju(e)j,gju(e)j,,gjuej besides (esp. older) gjuo(n)j and contracted gjuj.,,,,,,,,,
3-83-1,,3,83,akull,akull,,,,,,,,,,,
3-86-1,,3,86,vras,vras,,"From PAlb *awa-rautja, a prefix derivative based on IE *reu 'to tear, destroy': Skt rutá- 'broken', Lat ruo 'to fall down, to rush down' etc. INF = vra.",,,,,,,,,
3-88-1,,3,88,di,di,,"From PAlb *dija connected with IE *dhei(ə)- 'to see', cf Skt dhyā(ya)ti 'to observe, feel, think', Av dā(y)- 'to see'. INF = dit.",,,,,,,,,
3-89-1,,3,89,liqen,liqen,,,,,,,,,,,
3-90-1,,3,90,qesh,qesh,,,,,,,,,,,
3-91-1,,3,91,gjeth,gjeth,,"From PAlb *gadza. Etymologically connected with OHG questa 'tuft', PN kvistr 'branch'. Slav *gvozdb 'wood, forest'.",,,,,,,,,
3-92-1,,3,92,mâjtë,mâjtë,,"Borrowed < Rom *manctus, based on Lat mancus 'maimed, infirm', cf also Ital manca 'left hand'.",,,,,,,,,
3-93-1,,3,93,kâmë,kâmë,,"Also 'foot'. Borrowed < Rom *camba ~ *gamba 'leg, although direction of borrowing may be uncertain.",,,,,,,,,
3-95-1,,3,95,rroj,rroj,,"'live, stay'; < Pr. Alb. *rānja-, which is connected by Orel with Lith. róju, róti 'to cope, be ready', thus pointing to a root PIE **reh₁i̯-, but connected with Alb, rri 'sit, stay' it could go back to *(h₁)rei̯d- 'lean', LIV 503, Matzinger & Schumacher 994, with different stem formation and preverb *an-.",,,,,,,,,
3-96-1,,3,96,mëlçi e zezë,mëlçi e zezë,,"Borrowed < Ital milza id., possibly even earlier < Goth *milti (cf Cat melsa) 'milt, spleen'. Suppletion zeze 'black' follows Trk usage of colours for entrails, cf karaciger 'liver' with kara 'black'.",,,,,,,,,
3-97-1,,3,97,gjatë,gjatë,,From PAlb *dlata continuing IE *dlngh-to- and related to other IE adjectives for 'long'.,,,,,,,,,
3-98-1,,3,98,morr,morr,,From PAlb *mērwa based on IE *mer- 'to die' as Gk φθειρ is based on φθειρω 'to destroy'. Holm claims this is hardly likely and prefers the IE origin *merh2- 'to squeeze' via PAlb mēr(e)n.,,,,,,,,,
3-101-1,,3,101,mish,mish,,"From PAlb *miša further related to IE *memso-, cf also - inter alia - Skt māmsa-, Arm mis, Goth mimz, Slav *męso.",,,,,,,,,
3-104-1,,3,104,mal,mal,,"Identical with Lith. malà and Latv. mala 'bank, shore '. Also *mal- is reflected in ancient Balkan toponymy.",,,,,,,,,
3-105-1,,3,105,gojë,gojë,,"Borrowed < It gola id (?), made obvious by variant golë.",,,,,,,,,
3-106-1,,3,106,êmën,êmën,,"From PAlb *enmen- or *inmen-, etymologically close to OIr ainm, Slav *jbmę, PRus emnes, all meaning the same, and to other continuations of IE *(o)noHmn.",,,,,,,,,
3-107-1,,3,107,ngushtë,ngushtë,,,,,,,,,,,
3-108-1,,3,108,afër,afër,,,,,,,,,,,
3-109-1,,3,109,qafë,qafë,,"Borrowed < Turk. kafa 'occupit, head'. Poss. link with Lat. caput? Rum ceafă is an Albanian loanword!",,,,,,,,,
3-110-1,,3,110,ri,ri,,"Also 'young, recent'. From PAlb *rija < IE *er-, *or- 'to rise, to make move', cf ON orr 'quick', OS aru id, of similar origin.",,,,,,,,,
3-111-1,,3,111,natë,natë,,"From PAlb *nakti- corresponding to IE *nokut- > Skt nákt, Gk νυξ, Lat nox, etc, all with same meaning.",,,,,,,,,
3-112-1,,3,112,hũnë,hũnë,,Goes back to PAlb *skun-tā derived from *skuna> hu.,,,,,,,,,
3-114-1,,3,114,vjetër,vjetër,,Borrowed < Lat veterem 'id'.,,,,,,,,,
3-115-1,,3,115,nji,nji,,"From IE *sem- via Balkan-IE *sm-ijos > Arm mi, Gk μια and PAlb *mja. Orel disagrees, postulating an IE origin of *oi-no > Lat ūnus, Goth and OPrus ains, etc, all with identical meanings.",,,,,,,,,
3-118-1,,3,118,lu(e)j,lu(e)j,,,,,,,,,,,
3-119-1,,3,119,hek,hek,,,,,,,,,,,
3-121-1,,3,121,shi,shi,,"From PAlb *sūja, also connected with IE *sū- 'rain; to rain' and OPrus suge 'rain'.",,,,,,,,,
3-122-1,,3,122,kuq,kuq,,"Borrowed < Rom *cocceus, cf Lat coccineus 'scarlet'.",,,,,,,,,
3-124-1,,3,124,djathtë,djathtë,,,,,,,,,,,
3-125-1,,3,125,lumë,lumë,,,,,,,,,,,
3-127-1,,3,127,rranjë,rranjë,,"Also 'oak'. From PAlb *wradnjā etymologically connected with Gk ραδιξ 'branch', Lat radix, Welsh gwraidd etc., all with same meaning.",,,,,,,,,
3-132-1,,3,132,krypë,krypë,,,,,,,,,,,
3-133-1,,3,133,rãnë,rãnë,,"Borrowed < Lat arēna id. Holm, however, prefers an alternative etymology < IE *er- 'sand, locker' (cf Lat rārus) but has no recent cognates.",,,,,,,,,
3-136-1,,3,136,det,det,,,,,,,,,,,
3-137-1,,3,137,shof,shof,,"From PAlb *sāksa, further connected to IE *seku- 'to follow, to see', Skt sácate 'to accompany, to follow', Gk επομαι, Lat sequor; also notably Goth saihvan 'to see'.",,,,,,,,,
3-139-1,,3,139,qep,qep,,,,,,,,,,,
3-140-1,,3,140,prefët,prefët,,"Adjectival derivative of of pref ~ preh < *për-eh with eh < Pr. Alb. *a(k)ska-, a *-ske/o- formation to PIE *h₂ek̑- 'sharp'.",,,,,,,,,
3-141-1,,3,141,shkurt,shkurt,,"Borrowed < Gmc *skurtaz 'short': OHG scurz, OE sceort 'id'.",,,,,,,,,
3-142-1,,3,142,këndoj,këndoj,,Borrowed < Lat cantāre 'id'.,,,,,,,,,
3-143-1,,3,143,rri,rri,,"Also 'to stand, to stay, to remain'. Goes back to PAlb *rina etymologically xlose to Skt rnóti 'to arise, to move', Gk ορνυμαι 'to move up' and related forms. See also [lexeme 929](lex-929).",,,,,,,,,
3-144-1,,3,144,likurë,likurë,,"Also 'hide, bark'. From PAlb *lauk-ura derived from IE *leuk- 'to shine, to be white''. Holm disagrees, proposing a form comprising the prefix lë- + kur = loan < Lat corium 'thick skin, leather'.",,,,,,,,,
3-145-1,,3,145,qiell,qiell,,Also 'heaven'. Borrowed < Lat caelum 'id'.,,,,,,,,,
3-146-1,,3,146,fle,fle,,"From PAlb *awa-leja, etymologically connected with Slav. *lĕjo, *lĕjati 'to doze, slumber'. Contested by Holm.",,,,,,,,,
3-147-1,,3,147,vogël,vogël,,"From PAlb *wāgla, *wāgra related to Lat vagor 'to roam around', OIr fán 'slope' < *uāg-no-. Originates semantically from 'to be crooked'. Holm, however, proposes a borrowing from Trk ufaklik 'tinyness' (< Arab faqīr 'poor').",,,,,,,,,
3-149-1,,3,149,tym,tym,,"Continues PAlb *ātuma connected with Gmc *ēdumaz 'breath' and further related to Skt ātmán- 'blow, breath, soul'. Holm argues it is a loan < Gk θνμος from IE *dhueh2-.",,,,,,,,,
3-150-1,,3,150,limët,limët,,,,,,,,,,,
3-152-1,,3,152,borë,borë,,,,,,,,,,,
3-158-1,,3,158,rri,rri,,"Also 'to sit, to stay, to remain'. Goes back to PAlb *rina etymologically close to Skt rnóti 'to arise, to move', Gk ορνυμαι 'to move up' and related forms. See also [lexeme 916](lex-916).",,,,,,,,,
3-159-1,,3,159,yll,yll,,"Goes back to PAlb *skīw-ila, derived from *skijā > hije 'shadow' (Orel). Holm, however, prefers an IE origin in *h1eus 'burn, glow'.",,,,,,,,,
3-160-1,,3,160,shkop,shkop,,,,,,,,,,,
3-161-1,,3,161,gur,gur,,"Also 'rock'. From PAlb *gura continuing IE *guer- 'mountain', cf Skt gir-, Av gairi-, Lith girià 'wood', Latv dziria id and Slav *gora 'mountain, wood'.",,,,,,,,,
3-162-1,,3,162,drejtë,drejtë,,,,,,,,,,,
3-164-1,,3,164,dill,dill,,"Orel gives the old idea of a derivation from PIE *g̑ʰelh₃-u̯o- 'yellow', but Holm (p. 82) suggests alternatively to put it back to PIE *dei̯h₂- (LIV 108) 'blaze, shine', viz. *d(e)i̯h₂-lo-, cf. Alb. ditë 'day(light)' < *dih₂-to-.",,,,,,,,,
3-165-1,,3,165,â(n)j,â(n)j,,Nasal lost secondary after the aorist; frequent in the same meaning non-active âjem.,,,,,,,,,
3-166-1,,3,166,notoj,notoj,,"Loan < Rom *notāre, replacing ClLat natāre, same meaning. Holm prefers notim 'swimming' < IE snéh2-timo, cf Gk νηχω id.",,,,,,,,,
3-167-1,,3,167,bisht,bisht,,From PAlb *būšta derived < IE *bhu- 'to grow'.,,,,,,,,,
3-171-1,,3,171,trashë,trashë,,,,,,,,,,,
3-176-1,,3,176,tre,tre,,f. tri,,,,,,,,,
3-177-1,,3,177,hedh,hedh,,"Alternative (so in Dyen) shtij/shtie has a more specialized meaning 'cast, shoot, project into sth.' (cf. e.g. Mann 1948 s.v.).",,,,,,,,,
3-178-1,,3,178,lidh,lidh,,,,,,,,,,,
3-179-1,,3,179,gjue,gjue,,"From PAlb *glusā, further connected with IE dial. *golso- 'sound', cf also ON kall 'shout', Lith galsas 'echo', Slav golsъ 'voice'. Holm disagrees, favouring instead a root in IE *dnghuā 'tongue', cf [cognate set 327](cog-327)(cognate class W).",,,,,,,,,
3-180-1,,3,180,dhâmb,dhâmb,,"From PAlb *dzamba, a dialectal IE word for tooth shared with TochA, TochB, Latv, Slav, etc. Original meaning is preserved in Gk γομφος and Skt jámbha- 'peg'.",,,,,,,,,
3-181-1,,3,181,drû,drû,,"Also 'wood'. From PAlb *druwa < PIE dru(-n) etymologically compared with Slav drъvo 'wood', Skt dru- id., Av dru- id., etc.",,,,,,,,,
3-182-1,,3,182,kthej,kthej,,,,,,,,,,,
3-183-1,,3,183,dy,dy,,"From PAlb *duwō, fem. *duwai.",,,,,,,,,
3-186-1,,3,186,ngrohtë,ngrohtë,,"From IE *guher- 'hot, warm' > guuhr-eh1 > PAlb *en-grē-sk.",,,,,,,,,
3-187-1,,3,187,laj,laj,,,,,,,,,,,
3-188-1,,3,188,ujë,ujë,,From PAlb *udrjā < IE *ued- 'water'.,,,,,,,,,
3-190-1,,3,190,lagësht,lagësht,,"Also lagësht, lagur.",,,,,,,,,
3-194-1,,3,194,bardhë,bardhë,,"From PAlb *bardza continuing *bhorəgo-, a derivative of IE *bhereg- 'to shine; white', cf Skt bhrājate '(he) shines, beams, glitters', Goth bairhts 'light, shining' and the word for birch: Lith bérzas, Slv *berza.",,,,,,,,,
3-196-1,,3,196,gjanë,gjanë,,,,,,,,,,,
3-198-1,,3,198,erë,erë,,< Rom *er(a) based on Lat āēr 'air'.,,,,,,,,,
3-199-1,,3,199,fletë,fletë,,Singularized plural of (now rarer) flatër 'id.'.,,,,,,,,,
3-203-1,,3,203,pyll,pyll,,,,,,,,,,,
3-204-1,,3,204,krym(b),krym(b),,,,,,,,,,,
3-207-1,,3,207,sari,sari,,North Eastern Geg: Kosovo;Loan < Turkish sarı 'yellow'. The Standard word verdhë denotes 'green'.,,,,,,,,,
7-4-1,,7,4,moxir,moxir,m ɔ χ i ɾ,,,,,,mɔˈχiɾ,mɔχiɾ,m ɔ χ i ɾ,մոխիր,
7-6-1,,7,6,kṙnak,kṙnak,ɡ ə r n ɑ ɡ,Apparently from կուռն kowṙ-n 'back' + -ակ -ak (forming diminutives from nominal stems).,,,,,ɡərˈnɑɡ,ɡurn(-)ɑɡ,ɡ u r n + ɑ ɡ,կռնակ,
7-7-1,,7,7,gēš,gēš,kʰ ɛ ʃ,,,,,,kʰɛʃ,kʰɛʃ,kʰ ɛ ʃ,գէշ,
7-8-1,,7,8,kełew,kełew,ɡ ɛ ʁ ɛ v,,,,,also 'peel',ɡɛˈʁɛv,ɡɛʁɛv,ɡ ɛ ʁ ɛ v,կեղեւ,
7-10-1,,7,10,pʿor,pʿor,pʰ ɔ ɾ,,,,,,pʰɔɾ,pʰɔɾ,pʰ ɔ ɾ,փոր,
7-11-1,,7,11,mec,mec,m ɛ d z,,,,,,mɛdz,mɛdz,m ɛ d z,մեծ,
7-12-1,,7,12,tʿṙčʿown,tʿṙčʿown,tʰ ə r tʃʰ u n,,,,,,tʰərˈtʃʰun,tʰir-tʃʰ-un,tʰ i r + tʃʰ + u n,թռչուն,
7-13-1,,7,13,xacnel,xacnel,χ ɑ d z n ɛ l,"Traditionally, խած- xac- is derived from *kʰad-i̯e- (cf. Ved. khādati 'chew, bite'). Cf. also խոտ xot 'grass' [cognate set 593](cog-593).",,,,,χɑdzˈnɛl,χɑdz-n-ɛ-l,χ ɑ d z + n + ɛ + l,խածնել,
7-14-1,,7,14,sew,sew,s ɛ v,,,,,,sɛv,sɛu,s ɛ u,սեւ,
7-15-1,,7,15,ariwn,ariwn,ɑ ɾ j u n,,,,,,ɑˈɾjun,ɑɾi-un,ɑ ɾ i + u n,արիւն,
7-17-1,,7,17,oskor,oskor,v ɔ s ɡ ɔ ɾ,,,,,,vɔsˈɡɔɾ,ɔsɡɔɾ,ɔ s ɡ ɔ ɾ,ոսկոր,
7-19-1,,7,19,šnčʿel,šnčʿel,ʃ ə ɲ tʃʰ ɛ l,,,,,,ʃəɲˈtʃʰɛl,ʃuɲtʃʰ-ɛ-l,ʃ u ɲ tʃʰ + ɛ + l,շնչել,
7-22-1,,7,22,amp,amp,ɑ m b,,,,,,ɑmb,ɑmb,ɑ m b,ամպ,
7-24-1,,7,24,gal,gal,kʰ ɑ l,,,,,,kʰɑl,kʰɑl,kʰ ɑ l,գալ,
7-25-1,,7,25,hašvel,hašvel,h ɑ ʃ v ɛ l,,,,,,hɑʃˈvɛl,hɑʃiv-ɛ-l,h ɑ ʃ i v + ɛ + l,հաշվել,
7-27-1,,7,27,ōr,ōr,ɔ ɾ,,,,,,ɔɾ,oɾ,o ɾ,օր,
7-28-1,,7,28,meṙnil,meṙnil,m ɛ r n i l,,,,,,mɛrˈnil,mɛr-n-i-l,m ɛ r + n + i + l,մեռնիլ,
7-29-1,,7,29,pʿorel,pʿorel,pʰ ɔ ɾ ɛ l,,,,,,pʰɔˈɾɛl,pʰɔɾ-ɛ-l,pʰ ɔ ɾ + ɛ + l,փորել,
7-30-1,,7,30,ałtot,ałtot,ɑ ʁ d ɔ d,,,,,,ɑʁˈdɔd,ɑʁd-ɔd,ɑ ʁ d + ɔ d,աղտոտ,
7-31-1,,7,31,šun,šun,ʃ u n,,,,,,ʃun,ʃ-un,ʃ + u n,շուն,
7-32-1,,7,32,xmel,xmel,χ ə m ɛ l,,,,,,χəˈmɛl,χ(ə)m-ɛ-l,χ ə m + ɛ + l,խմել,
7-33-1,,7,33,čʿor,čʿor,tʃʰ ɔ ɾ,,,,,,tʃʰɔɾ,tʃʰɔɾ,tʃʰ ɔ ɾ,չոր,
7-35-1,,7,35,pʿoši,pʿoši,pʰ ɔ ʃ i,,,,,,pʰɔˈʃi,pʰɔʃi,pʰ ɔ ʃ i,փոշի,
7-36-1,,7,36,akanǰ,akanǰ,ɑ ɡ ɑ n dʒ,,,,,,ɑˈɡɑndʒ,ɑɡɑndʒ,ɑ ɡ ɑ n dʒ,ականջ,
7-38-1,,7,38,owtel,owtel,u d ɛ l,,,,,,uˈdɛl,u(i)d-ɛ-l,u i d + ɛ + l,ուտել,
7-39-1,,7,39,hawkitʿ,hawkitʿ,h ɑ v ɡ i tʰ,"կիթ kitʿ""(act of collecting) animal product(s)"", such as 'milk(ing)', 'butter', '(collecting) eggs', etc.",,,,"≈ ""bird-produce""",hɑvˈɡitʰ,hɑu-ɡitʰ,h ɑ u + ɡ i tʰ,հաւկիթ,
7-40-1,,7,40,ačʿkʿ,ačʿkʿ,ɑ tʃʰ kʰ,,,,,,ɑtʃʰkʰ,ɑtʃʰ-kʰ,ɑ tʃʰ + kʰ,աչք,
7-41-1,,7,41,iynal,iynal,i j ə n ɑ l,Suppletive past stem: ինկա- ink-a-; cf. CA անկա- ank-a- (with a later alternative form ընկա-  ənk-a-) 'id.'.,,,,,ij(ə)ˈnɑl,ei(-)n-ɑ-l,e i + n + ɑ + l,իյնալ,
7-42-1,,7,42,heṙow,heṙow,h ɛ r u,Also a variant հեռի [hɛri].,,,,,hɛˈru,hɛru,h ɛ r u,հեռու,
7-45-1,,7,45,vaxnal,vaxnal,v ɑ χ n ɑ l,From CA վախենալ vax-en-a-l 'id.'; cf. [lexeme 31543](lex-31543).,,,,,vɑχˈnɑl,vɑχ-n-ɑ-l,v ɑ χ + n + ɑ + l,վախնալ,
7-46-1,,7,46,pʿetowr,pʿetowr,pʰ ɛ d u ɾ,,,,,,pʰɛˈduɾ,pʰɛduɾ,pʰ ɛ d u ɾ,փետուր,
7-48-1,,7,48,kṙvil,kṙvil,ɡ ə r v i l,"Denominative of (CA) կռիւ kṙiw 'fight, strife; uproar'.",,,,,ɡərˈvil,ɡ(ə)riv-i-l,ɡ ə r i v + i + l,կռուիլ,
7-50-1,,7,50,krak,krak,ɡ ə ɾ ɑ ɡ,,,,,,ɡəˈɾɑɡ,ɡ(ə)ɾɑɡ,ɡ ə ɾ ɑ ɡ,կրակ,
7-51-1,,7,51,jowk,jowk,ts u ɡ,,,,,,tsuɡ,tsuɡ,ts u ɡ,ձուկ,
7-52-1,,7,52,hing,hing,h i ŋ kʰ,,,,,,hiŋkʰ,hiŋkʰ,h i ŋ kʰ,հինգ,
7-55-1,,7,55,całik,całik,d z ɑ ʁ i ɡ,,,,,,dzɑˈʁiɡ,dzɑʁiɡ,d z ɑ ʁ i ɡ,ծաղիկ,
7-56-1,,7,56,tʿṙčʿil,tʿṙčʿil,tʰ ə r tʃʰ i l,,,,,,tʰərˈtʃʰil,tʰir-tʃʰ-i-l,tʰ i r + tʃʰ + i + l,թռչիլ,
7-57-1,,7,57,mēg,mēg,m ɛ kʰ,"Linked with Skt. meghá- m. 'cloud, gloomy weather', Av. maēɣa- m. 'cloud', Gr. ὀμίχλη 'mist, fog', Lith. miglà 'fog', Dutch dial. miggelen 'staubregnen', etc. Other scholars consider it a loan < Iranian.",,,,,mɛkʰ,mekʰ,m e kʰ,մէգ,
7-58-1,,7,58,otkʿ,otkʿ,v ɔ d kʰ,,,,,,vɔdkʰ,ɔd-kʰ,ɔ d + kʰ,ոտք,
7-59-1,,7,59,čʿors,čʿors,tʃʰ ɔ ɾ s,,,,,,tʃʰɔɾs,tʃʰɔɾs,tʃʰ ɔ ɾ s,չորս,
7-60-1,,7,60,saṙil,saṙil,s ɑ r i l,,,,,,sɑˈril,sɑr-i-l,s ɑ r + i + l,սառիլ,
7-61-1,,7,61,ptowł,ptowł,b ə d u ʁ,,,,,,bəˈduʁ,b(ə)duʁ,b ə d u ʁ,պտուղ,
7-63-1,,7,63,tal,tal,d ɑ l,,,,,,dɑl,d-ɑ-l,d + ɑ + l,տալ,
7-64-1,,7,64,bari,bari,pʰ ɑ ɾ i,,,,,,pʰˈɑɾi,pʰɑɾ-i,pʰ ɑ ɾ + i,բարի,
7-65-1,,7,65,xot,xot,χ ɔ d,,,,,,χɔd,χɔd,χ ɔ d,խոտ,
7-66-1,,7,66,kanačʿ,kanačʿ,k ɑ n ɑ tʃʰ,,,,,,kɑˈnɑtʃʰ,kɑnɑtʃʰ,k ɑ n ɑ tʃʰ,կանաչ,
7-68-1,,7,68,maz,maz,m ɑ z,,,,,,mɑz,mɑz,m ɑ z,մազ,
7-69-1,,7,69,jeṙkʿ,jeṙkʿ,tsʰ ɛ ɾ kʰ,,,,,,tsʰɛɾkʰ,tsʰɛɾ-kʰ,tsʰ ɛ ɾ + kʰ,ձեռք,
7-71-1,,7,71,glowx,glowx,kʰ ə l u χ,,,,,,kʰəˈluχ,kʰ(ə)luχ,kʰ ə l u χ,գլուխ,
7-72-1,,7,72,lsel,lsel,l ə s ɛ l,,,,,,ləˈsɛl,lu-s-ɛ-l,l u + s + ɛ + l,լսել,
7-73-1,,7,73,sirt,sirt,d z ɑ n ə ɾ,,,,,,ˈdzɑnəɾ,dzɑnɾ,d z ɑ n ɾ,սիրտ,
7-74-1,,7,74,canr,canr,s i ɾ t,,,,,,siɾt,siɾt,s i ɾ t,ծանր,
7-76-1,,7,76,zarnel,zarnel,z ɑ ɾ n ɛ l,,,,,,zɑɾˈnɛl,zɑɾ(-)n-ɛ-l,z ɑ ɾ + n + ɛ + l,զարնել,
7-80-1,,7,80,orsal,orsal,v ɔ ɾ s ɑ l,,,,,,vɔɾˈsɑl,ɔɾs-ɑ-l,ɔ ɾ s + ɑ + l,որսալ,
7-83-1,,7,83,saṙ,saṙ,s ɑ r,,,,,,sɑr,sɑr,s ɑ r,սառ,
7-86-1,,7,86,spannel,spannel,ə s b ɑ n n ɛ l,,,,,,əsbɑnˈnɛl,sbɑn-n-ɛ-l,s b ɑ n + n + ɛ + l,սպաննել,
7-88-1,,7,88,gitnal,gitnal,kʰ i d n ɑ l,,,,,,kʰidˈnɑl,kʰeid-n-ɑ-l,kʰ e i d + n + ɑ + l,գիտնալ,
7-89-1,,7,89,lič,lič,l i dʒ,,,,,,lidʒ,lidʒ,l i dʒ,լիճ,
7-90-1,,7,90,xntal,xntal,χ ə n d ɑ l,,,,,,χənˈdɑl,χənd-ɑ-l,χ ə n d + ɑ + l,խնտալ,
7-91-1,,7,91,terew,terew,d ɛ ɾ ɛ v,,,,,,dɛˈɾɛv,dɛɾɛu,d ɛ ɾ ɛ u,տերեւ,
