ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Gloss,phon_form,Phonemic,Phonemic_Segments,native_script,url
3-4-1,,3,4,hĩ,hĩ,,,,,,,,,,,
3-6-1,,3,6,shpinë,shpinë,,Borrowed < Lat spīna 'id'.,,,,,,,,,
3-7-1,,3,7,keç,keç,,,,,,,,,,,
3-11-1,,3,11,madh,madh,,,,,,,,,,,
3-12-1,,3,12,shpend,shpend,,"Also shpes(ë), shpezë.< *su-petno-t- (Huld, 1984: 154, in Kortlandt 1987).Alternatively, to pendë 'feather' < Lat. pinna, penna 'id.'. (Orel 429).",,,,,,,,,
3-13-1,,3,13,kapshoj,kapshoj,,see Martirosyan 518,,,,,,,,,
3-14-1,,3,14,zi,zi,,,,,,,,,,,
3-15-1,,3,15,gjak,gjak,,,,,,,,,,,
3-17-1,,3,17,asht,asht,,ADGjSh II p. 276,,,,,,,,,
3-19-1,,3,19,marr frymë,marr frymë,,,,,,,,,,,
3-20-1,,3,20,digjem,digjem,,,,,,,,,,,
3-22-1,,3,22,rẽ,rẽ,,,,,,,,,,,
3-23-1,,3,23,ftoft,ftoft,,"Late derivative of ftoh ~ ftof 'to cool, to make cold' < Pr. Alb. *wi-tāja, whose second element compares with Slav. *tajo, *tajati 'to melt', < PIE *teh₂- 'thaw, melt', here with suffix -f- < -h- < *-sk̑e-. The oppositive meaning derives from the preverb f- < *wi- < *apu- (Schumacher & Matzinger: 974).",,,,,,,,,
3-24-1,,3,24,vinj,vinj,,Borrowed from Lat venire. Aorist continues PAlb *erdza which is etymologically identical to Gk ερχομαι 'to come'.,,,,,,,,,
3-25-1,,3,25,numeroj,numeroj,,"Orel gives nëmëroj 'to number, to count'. Loan < Lat numerāre 'id'.",,,,,,,,,
3-27-1,,3,27,ditë,ditë,,,,,,,,,,,
3-28-1,,3,28,vdes,vdes,,"vdek = infin. Orel and Dyen claim Albanian-internal cognacy only. Holm offers < *dhguhei- 'to pass away, die'. cf. also Att Gk φθι-νω 'to die'.",,,,,,,,,
3-29-1,,3,29,gërmoj,gërmoj,,,,,,,,,,,
3-31-1,,3,31,qen,qen,,"Relatively late loanword from Lat canem or, rather, from its Balkan continuations, reflected in the lack of rhotacism in Tosk.",,,,,,,,,
3-32-1,,3,32,pî,pî,,Also 'to suck'. piva (aor); pirë (participle). related to IE *po(i)- 'to drink'.,,,,,,,,,
3-33-1,,3,33,thatë,thatë,,,,,,,,,,,
3-35-1,,3,35,pluhun,pluhun,,,,,,,,,,,
3-36-1,,3,36,vesh,vesh,,"Related to IE *ous-, cf also Lat auris, Lith ausis, Latv auss.",,,,,,,,,
3-37-1,,3,37,dhe,dhe,,Also 'land'. From PAlb *dzo reflecting IE *dhghom.,,,,,,,,,
3-38-1,,3,38,hâ,hâ,,(aor. stem reflects a different root PIE *gʷerh₃- + preverb *an-),,,,,,,,,
3-39-1,,3,39,vo,vo,,"< IE *eh3uiom, cf. Arm jvoj (gen.) and Cze vejce. Orel, however, claims it to be a loan from Latin. Both have same etymological origin, however.",,,,,,,,,
3-40-1,,3,40,sy,sy,,"From IE *h3(e)kuih1 > PALb *atsiwi, a form of dual related to - inter alia - Skt aksi, Lith akì.",,,,,,,,,
3-41-1,,3,41,bie,bie,,"From PAlb *be(r)ja derived from IE *bher- 'to strike, to beat'. Aorist form rashë goes back to PAlb *rausa, a sigmatic aorist of IE *reu- 'to tear', cf also Skt ravate 'to smash', Lat ruo 'to tear', etc. (ra, ran = INF.)",,,,,,,,,
3-42-1,,3,42,larg,larg,,,,,,,,,,,
3-45-1,,3,45,druaj,druaj,,,,,,,,,,,
3-46-1,,3,46,pendë,pendë,,"Borrowed < Lat pinna, penna 'feather; pair of oxen'. Second meaning is a metaphoric derivative of the latter, meaning more 'plumage'.",,,,,,,,,
3-48-1,,3,48,luftoj,luftoj,,< Lat luctari (loan).,,,,,,,,,
3-50-1,,3,50,zjarr,zjarr,,"< IE *gheres, cf. Skt haras 'flame, heat'. Etymologically identical also with Gk θερμος, Arm jerm.",,,,,,,,,
3-51-1,,3,51,peshk,peshk,,Borrowed < Lat piscem 'fish'.,,,,,,,,,
3-52-1,,3,52,pesë,pesë,,,,,,,,,,,
3-55-1,,3,55,lule,lule,,,,,,,,,,,
3-56-1,,3,56,fluturoj,fluturoj,,"< Rom *fluctulare, a modification of Lat fluctuare 'to move in waves, to move to and fro'.",,,,,,,,,
3-57-1,,3,57,mjegull,mjegull,,,,,,,,,,,
3-58-1,,3,58,kâmë,kâmë,,"kâmë ~ kâmbë Loan < Romance *camba ~ *gamba (but not attested in Balkan Romance) < (Vul)Lat gamba 'leg, ankle, pastern' (itself < Grk. κάμπη)",,,,,,,,,
3-59-1,,3,59,katër,katër,,,,,,,,,,,
3-60-1,,3,60,mërdhif,mërdhif,,,,,,,,,,,
3-61-1,,3,61,pemë,pemë,,Loan < Lat. pōmum 'fruit (of a tree)'.,,,,,,,,,
