id,cladesOrder,clade_id,language_id
54517,2,12,251
54518,1,45,251
54519,3,11,250
54520,2,12,250
54521,1,45,250
54522,3,11,259
54523,2,12,259
54524,1,45,259
54525,3,11,97
54526,2,12,97
54527,1,45,97
54528,3,11,260
54529,2,12,260
54530,1,45,260
54531,3,11,238
54532,2,12,238
54533,1,46,238
54534,3,11,55
54535,2,12,55
54536,1,46,55
54537,3,11,175
54538,2,12,175
54539,1,46,175
54540,3,11,176
54541,2,12,176
54542,1,46,176
54543,3,11,66
54544,2,12,66
54545,1,46,66
54546,3,11,243
54547,2,12,243
54548,1,46,243
54549,3,11,18
54550,2,12,18
54551,1,46,18
54552,3,11,48
54553,2,12,48
54554,1,46,48
54555,3,11,47
54556,2,12,47
54557,1,46,47
54558,3,11,245
54559,2,12,245
54560,1,47,245
54561,3,11,60
54562,2,12,60
54563,1,47,60
54564,3,11,16
54565,2,12,16
54566,1,47,16
54567,3,11,73
54568,2,12,73
54569,1,47,73
54570,3,11,249
54571,2,12,249
54572,1,47,249
54573,3,1,303
54574,2,36,303
54575,3,1,107
54576,2,36,107
54577,3,1,109
54578,2,37,109
54579,1,3,109
54580,3,1,302
54581,2,37,302
54582,1,3,302
54583,3,1,36
54584,2,37,36
54585,1,3,36
54586,3,1,23
54587,2,37,23
54588,1,3,23
54589,3,1,58
54590,2,37,58
54591,1,3,58
54592,3,1,304
54593,2,37,304
54594,1,3,304
54595,3,1,145
54596,2,37,145
54597,1,3,145
54598,3,1,157
54599,2,37,157
54600,1,3,157
54601,3,1,69
54602,2,37,69
54603,1,3,69
54604,3,1,20
54605,2,37,20
54606,1,3,20
54607,3,1,261
54608,2,37,261
54609,1,2,261
54610,3,1,126
54611,2,37,126
54612,1,2,126
54613,3,1,99
54614,2,37,99
54615,1,2,99
54616,0,40,99
54617,3,1,298
54618,2,37,298
54619,1,2,298
54620,3,1,22
54621,2,37,22
54622,1,2,22
54623,3,1,301
54624,2,37,301
54625,1,2,301
54626,3,1,26
54627,2,37,26
54628,1,2,26
54629,3,1,300
54630,2,37,300
54631,1,2,300
54632,3,1,21
54633,2,37,21
54634,1,2,21
54635,3,1,24
54636,2,37,24
54637,1,2,24
54638,3,1,297
54639,2,37,297
54640,1,2,297
54641,3,1,295
54642,2,37,295
54643,1,2,295
54644,3,1,299
54645,2,37,299
54646,1,2,299
54647,3,1,120
54648,2,37,120
54649,1,2,120
54650,3,1,27
54651,2,37,27
54652,1,2,27
54653,3,1,263
54654,2,37,263
54655,1,2,263
54656,3,5,112
54657,2,51,112
54658,3,5,59
54659,2,51,59
54660,1,34,59
54661,3,5,281
54662,2,51,281
54663,1,34,281
54664,3,5,207
54665,2,51,207
54666,1,34,207
54667,3,5,189
54668,2,51,189
54669,1,34,189
54670,3,5,39
54671,2,51,39
54672,1,34,39
54673,3,5,122
54674,2,51,122
54675,1,34,122
54676,3,5,42
54677,2,51,42
54678,1,34,42
54679,3,5,311
54680,2,51,311
54681,1,34,311
54682,3,5,63
54683,2,51,63
54684,1,34,63
54685,3,5,62
54686,2,51,62
54687,1,34,62
54688,3,5,209
54689,2,51,209
54690,1,34,209
54691,3,5,203
54692,2,51,203
54693,1,34,203
54694,3,5,25
54695,2,51,25
54696,1,34,25
54697,3,5,76
54698,2,51,76
54699,1,34,76
54700,3,5,283
54701,2,51,283
54702,1,34,283
54703,3,5,220
54704,2,51,220
54705,1,34,220
54706,3,5,289
54707,2,51,289
54708,1,34,289
54709,3,5,17
54710,2,51,17
54711,1,34,17
54712,3,5,204
54713,2,51,204
54714,1,34,204
54715,3,5,68
54716,2,51,68
54717,1,34,68
54718,3,5,56
54719,2,51,56
54720,1,34,56
54721,3,5,305
54722,2,51,305
54723,1,34,305
54724,3,5,130
54725,2,35,130
54726,3,5,132
54727,2,35,132
54728,3,15,140
54729,2,39,140
54730,3,15,150
54731,2,17,150
54732,1,49,150
54733,3,15,239
54734,2,17,239
54735,1,49,239
54736,3,15,236
54737,2,17,236
54738,1,49,236
54739,3,15,231
54740,2,17,231
54741,1,50,231
54742,3,15,230
54743,2,17,230
54744,1,50,230
54745,3,15,148
54746,2,17,148
54747,1,48,148
54748,3,15,172
54749,2,17,172
54750,1,48,172
54751,3,15,234
54752,2,17,234
54753,1,48,234
54754,3,15,229
54755,2,17,229
54756,1,48,229
54757,3,15,127
54758,2,16,127
54759,3,15,115
54760,2,16,115
54761,3,15,147
54762,2,16,147
54763,3,15,38
54764,2,16,38
