id,cladesOrder,clade_id,language_id
3012,3,32,81
3013,3,32,82
3033,3,22,80
3034,3,22,133
3035,3,22,134
3036,3,22,135
3046,3,31,129
3047,3,31,8
3048,3,31,7
3049,3,30,3
3050,3,30,143
26606,3,30,286
54334,3,21,173
54335,2,43,173
54336,3,21,110
54337,2,43,110
54338,3,21,177
54339,2,43,177
54340,3,21,32
54341,2,42,32
54342,3,21,210
54343,2,42,210
54344,3,21,211
54345,2,42,211
54346,3,21,195
54347,2,42,195
54348,3,21,201
54349,2,42,201
54350,3,21,152
54351,2,42,152
54352,3,21,188
54353,2,42,188
54354,3,33,105
54355,2,24,105
54356,3,33,228
54357,2,24,228
54358,3,33,162
54359,2,24,162
54360,3,33,65
54361,2,24,65
54362,3,33,272
54363,2,24,272
54364,3,33,10
54365,2,24,10
54366,3,33,111
54367,2,24,111
54368,3,33,144
54369,2,24,144
54370,3,33,222
54371,2,24,222
54372,3,33,35
54373,2,24,35
54374,3,33,119
54375,2,24,119
54376,3,33,51
54377,2,24,51
54378,3,33,266
54379,2,24,266
54380,3,33,50
54381,2,24,50
54382,3,33,40
54383,2,24,40
54384,3,33,219
54385,2,24,219
54386,3,33,290
54387,2,24,290
54388,3,33,288
54389,2,24,288
54390,3,33,293
54391,2,24,293
54392,3,33,284
54393,2,24,284
54394,3,33,312
54395,2,27,312
54396,3,33,214
54397,2,27,214
54398,3,33,314
54399,2,27,314
54400,3,33,141
54401,2,27,141
54402,3,33,213
54403,2,27,213
54404,3,33,315
54405,2,27,315
54406,3,33,316
54407,2,27,316
54408,3,33,216
54409,2,27,216
54410,3,33,217
54411,2,27,217
54412,3,33,317
54413,2,27,317
54414,3,33,215
54415,2,27,215
54416,3,33,212
54417,2,27,212
54418,3,33,307
54419,2,27,307
54420,3,33,128
54421,2,23,128
54422,3,33,287
54423,2,23,287
54424,3,33,271
54425,2,23,271
54426,3,33,174
54427,2,23,174
54428,3,33,292
54429,2,23,292
54430,3,33,75
54431,2,23,75
54432,3,33,296
54433,2,23,296
54434,3,33,208
54435,2,23,208
54436,3,33,278
54437,2,23,278
54438,3,33,179
54439,2,23,179
54440,3,33,118
54441,2,23,118
54442,3,33,273
54443,2,23,273
54444,3,33,285
54445,2,23,285
54446,3,33,308
54447,2,23,308
54448,3,33,282
54449,2,23,282
54450,3,33,291
54451,2,23,291
54452,3,33,277
54453,2,23,277
54454,3,33,265
54455,2,23,265
54456,3,33,274
54457,2,23,274
54458,3,33,124
54459,2,23,124
54460,3,33,125
54461,2,23,125
54462,3,33,131
54463,2,23,131
54464,1,55,131
54465,3,33,178
54466,2,23,178
54467,1,55,178
54468,3,33,54
54469,2,23,54
54470,1,55,54
54471,3,33,257
54472,2,23,257
54473,1,55,257
54474,3,33,280
54475,2,23,280
54476,1,55,280
54477,3,33,279
54478,2,23,279
54479,1,55,279
54480,3,33,242
54481,2,23,242
54482,1,55,242
54483,3,11,44
54484,2,29,44
54485,1,52,44
54486,3,11,190
54487,2,29,190
54488,1,52,190
54489,3,11,46
54490,2,29,46
54491,1,52,46
54492,3,11,108
54493,2,29,108
54494,1,38,108
54495,3,11,100
54496,2,12,100
54497,1,45,100
54498,3,11,15
54499,2,12,15
54500,1,45,15
54501,3,11,92
54502,2,12,92
54503,1,45,92
54504,3,11,254
54505,2,12,254
54506,1,45,254
54507,3,11,253
54508,2,12,253
54509,1,45,253
54510,3,11,95
54511,2,12,95
54512,1,45,95
54513,3,11,252
54514,2,12,252
54515,1,45,252
54516,3,11,251
