id,lexeme_id,cognate_class_id
732,793,357
734,795,359
735,796,360
737,798,362
738,799,363
739,800,364
741,802,367
742,803,368
745,806,371
746,807,372
748,809,374
749,810,8280
751,812,377
754,815,380
759,820,384
763,824,388
765,826,390
766,827,8283
771,832,396
773,834,39
775,836,399
779,840,44
780,841,403
781,842,404
783,844,406
784,845,407
785,846,408
788,849,411
791,852,414
792,853,415
793,854,416
794,855,417
795,856,418
797,858,242
798,859,420
800,861,62
801,862,422
804,865,425
805,866,426
807,868,428
809,870,430
812,873,433
814,875,435
816,877,436
817,878,437
819,880,439
820,881,5636
821,882,82
823,884,442
824,885,443
825,886,444
826,887,266
827,888,445
828,889,89
830,891,447
832,893,449
836,897,454
837,898,455
838,899,6595
839,900,457
845,906,462
849,910,466
850,911,8258
851,912,467
852,913,468
855,916,471
856,917,472
858,919,474
859,920,475
860,921,477
863,924,480
868,929,485
869,930,486
870,931,487
871,932,488
873,935,491
876,938,494
877,939,318
878,940,319
880,942,496
881,943,497
883,945,323
884,946,145
885,947,146
887,949,500
888,950,501
889,951,502
890,952,503
891,953,504
892,954,153
894,956,333
896,958,335
897,959,6637
898,960,507
899,961,160
900,962,161
901,963,337
902,964,508
903,965,7520
904,966,509
906,968,511
907,969,512
908,970,541
909,971,514
910,972,172
911,973,5822
1459,1574,566
1460,1575,567
1461,1577,568
1462,1578,569
1463,1581,570
1464,1584,360
1469,1589,5930
1470,1590,519
1474,1594,579
1475,1596,580
1476,1598,581
1478,1600,18
1479,1601,583
1480,1603,21
1481,1604,584
1483,1606,586
1484,1607,208
1485,1609,210
1486,1611,211
1488,1613,7345
1489,1614,8090
1490,1615,33
1492,1621,589
1493,1622,39
1494,1624,590
1497,1628,225
1498,1629,44
1499,1630,592
1500,1632,405
1501,1634,593
1502,1635,594
1503,1636,595
1504,1637,596
1505,1638,411
1507,1640,598
1508,1641,6458
1509,1642,599
1510,1644,600
1512,1646,602
1513,1647,603
1514,1648,604
1515,1649,62
1516,1650,605
1518,1653,606
1520,1655,607
1521,1657,608
1522,1658,609
1524,1661,611
1526,1663,613
1527,1664,614
1529,1666,615
1530,1667,437
1531,1668,79
1532,1669,616
1533,1670,8488
1534,1671,82
1535,1672,618
1536,1674,86
1537,1675,619
1538,1676,620
1540,1678,622
1543,1681,625
1544,1682,626
1545,1683,627
1546,1684,628
1547,1685,629
1548,1686,630
1549,1688,631
1551,1690,633
1553,1694,283
1555,1696,636
1558,1700,639
1559,1701,640
1560,1702,8275
1561,1703,642
1563,1705,644
1564,1707,7523
1565,1709,646
1567,1712,648
1568,1713,649
1569,1714,305
1572,1720,651
1574,1723,653
1575,1724,654
1576,1725,655
1577,1726,656
1578,1727,318
1579,1729,657
1581,1734,146
1582,1736,658
1583,1737,327
1585,1740,660
1586,1741,153
1588,1745,662
1589,1746,663
1590,1747,6637
1591,1749,160
1592,1750,664
1593,1751,665
1594,1752,666
1595,1753,7520
1596,1754,667
1597,1755,668
1599,1759,670
1600,1760,671
1601,1761,672
1602,1762,673
1603,1763,7538
1604,1764,675
1605,1766,566
1606,1767,567
1608,1773,570
1609,1775,360
1614,1780,5930
1615,1781,519
1618,1784,578
1619,1785,579
1620,1787,580
1623,1791,18
1624,1792,583
1625,1794,21
1628,1798,586
1629,1799,208
1630,1801,210
1631,1802,28
1632,1803,211
1634,1805,7345
1635,1807,33
1636,1809,676
1637,1811,219
1638,1812,589
1639,1813,39
1640,1815,590
1643,1819,225
1644,1820,44
1645,1821,592
1646,1822,405
1647,1823,8081
1648,1824,593
1649,1825,594
1650,1826,595
1651,1827,596
1652,1828,411
1655,1831,598
1656,1832,6458
1657,1833,599
1659,1837,602
1660,1838,603
1661,1839,604
1662,1840,62
1663,1841,605
1665,1843,606
1667,1845,607
1669,1847,608
1670,1848,609
1672,1851,611
1674,1853,613
1675,1854,614
1677,1856,615
1678,1857,437
1679,1858,79
1681,1860,8488
1682,1861,82
1683,1863,618
1685,1865,86
1686,1866,619
1687,1867,620
1689,1869,622
1692,1872,625
1693,1873,626
1694,1874,627
1695,1875,628
1696,1876,629
1697,1877,630
1698,1880,631
1699,1881,632
1700,1882,633
1701,1885,634
1702,1886,283
1704,1888,636
1707,1893,639
1708,1894,640
1709,1895,8275
1710,1896,642
1712,1898,5723
1713,1900,7523
1714,1902,646
1715,1905,648
1716,1906,649
1717,1908,305
1718,1911,650
1720,1915,651
1721,1917,652
1722,1918,653
1723,1919,654
1724,1920,655
1725,1921,656
1726,1922,318
1727,1924,657
1729,1929,145
1730,1930,146
1731,1932,658
1732,1933,327
1733,1934,328
1735,1936,660
1736,1937,153
1738,1941,662
1739,1942,663
1740,1943,6637
1741,1945,160
1742,1946,664
1743,1947,665
1744,1948,666
1745,1949,7520
1747,1951,668
1749,1955,670
1750,1956,671
1751,1957,672
1752,1958,673
1753,1959,7538
1754,1960,675
1895,2157,748
1896,2158,1
1898,2161,6354
1899,2162,4
1901,2164,751
1902,2165,752
1903,2166,753
1904,2167,754
1906,2169,756
1908,2172,11
1909,2173,8502
1910,2174,758
1912,2176,6723
1913,2177,761
1914,2179,690
1915,2180,7325
1916,2181,375
1917,2182,18
1919,2184,692
1920,2185,764
1922,2187,7551
1925,2190,768
1927,2192,385
1928,2193,769
1929,2194,696
1931,2196,771
1932,2197,6343
1933,2198,6344
1934,2199,699
1935,2202,7351
1936,2203,774
1937,2204,703
1938,2205,39
1940,2208,704
1941,2209,776
1942,2211,225
1943,2212,44
1945,2214,778
1946,2215,405
1948,2217,6322
1949,2218,5576
1954,2224,598
1957,2228,712
1959,2230,242
1960,2231,5596
1962,2233,62
1966,2237,788
1967,2238,249
1968,2240,789
1969,2241,790
1970,2242,7594
1972,2244,7521
1973,2245,7390
1978,2250,795
1979,2251,437
1980,2252,79
1983,2255,82
1984,2256,7408
1986,2259,86
1987,2260,799
1988,2261,267
1989,2262,89
1991,2264,91
1994,2267,802
1997,2271,805
2000,2274,6514
2006,2282,813
2008,2284,814
2009,2285,7807
2010,2286,815
2011,2287,816
2012,2288,6911
2013,2289,818
2014,2290,7443
2016,2292,7046
2017,2293,7062
2018,2294,823
2020,2296,123
2021,2298,825
2022,2299,5738
2028,2305,7448
2029,2306,131
2030,2307,6098
2031,2308,831
2032,2309,832
2035,2312,8440
2036,2315,318
2039,2318,836
2042,2323,146
2043,2324,7501
2044,2325,326
2045,2326,327
2046,2327,328
2047,2328,839
2048,2330,153
2049,2331,840
2050,2333,5775
2051,2334,841
2053,2336,6637
2054,2337,6683
2055,2338,160
2056,2339,161
2057,2340,337
2058,2342,7520
2059,2343,844
2063,2348,169
2064,2350,171
2837,3148,1103
2839,3150,1105
2841,3152,1106
2842,3153,7796
2843,3154,1107
2844,3156,1108
2845,3157,1109
2846,3158,1110
2847,3159,1111
2848,3160,1112
2850,3162,1114
2851,3163,1115
2853,3165,1116
2854,3166,1117
2856,3168,7318
2857,3169,1120
2858,3170,1121
2859,3171,375
2860,3172,18
2861,3173,7700
2862,3174,1122
2864,3176,380
2865,3177,7551
2866,3178,1124
2867,3179,1125
2868,3180,208
2869,3182,210
2870,3183,28
2871,3184,211
2872,3185,1126
2873,3186,6505
2875,3189,1128
2876,3190,700
2877,3191,1129
2879,3193,774
2880,3194,1131
2881,3195,39
2883,3198,1133
2884,3199,1134
2885,3200,42
2886,3201,1135
2887,3202,44
2888,3203,403
2890,3205,405
2891,3206,1137
2892,3207,1138
2893,3208,6332
2895,3210,8240
2896,3211,1141
2898,3213,1142
2900,3215,6458
2901,3216,1143
2903,3218,1144
2904,3219,784
2905,3220,242
2906,3221,1145
2908,3223,62
2909,3224,1146
2912,3227,1147
2913,3228,249
2914,3229,1148
