id,name,description
1,all,
2,Swadesh100,
3,Swadesh-Yakhontov,
5,ASJP40,
6,EoSS,"A cut-down version of the 207 item Swadesh list with body part, colour, and spatial terms removed"
7,JBIL,
6145,Swadesh207,
6146,all-alpha,
6147,Jena100,
6148,Jena151-200,
6149,Jena200,
6150,Stable50,
6151,Unstable50,
6152,Jena-Swadesh181,
6153,NB-meanings,
6158,minitest,
6279,Jena200-alpha,
6281,Jena175,
6282,Jena180,
6283,JBIL_Verbs,
6284,Cool_gang,
6285,Jena170GermanicTest,"Jena175GermanicTest w/o
forest
hot
person
run
walk"
6286,JenaTesting168,"Jena 175 minus:
3 meanings with insurmountable uncertainties as to deep Indo-European coding:
* cut
* guts
* scratch
2 meanings with widespread uncertainties, difficulties and loanwords across several branches of Indo-European:
* person
* walk
2 meanings problematic, especially in Germanic:  
* hot (vis à vis warm, the heiss/warm roots)
* run (vis à vis walk, the rennen/laufen roots)"
6288,JenaTesting169,With run but without hot.
6289,JenaFinal170,
6290,default,public visible dataset 2019/03/12
