id,cladeName,hexColor,shortName,export,exportDate,taxonsetName,atMost,atLeast,distribution,logNormalOffset,logNormalMean,logNormalStDev,normalMean,normalStDev,uniformUpper,uniformLower,cladeLevel0,cladeLevel1,cladeLevel2,cladeLevel3,level0Name,level1Name,level2Name,level3Name
1,Germanic,191970,Gmc,True,False,Germanic,,,_,,,,,,,,8,0,0,0,Germanic,,,
2,West,6495ED,,True,False,GermanicWest,,,_,,,,,,,,8,2,2,0,Germanic,North-West,West Germanic,
3,North,4169E1,,True,False,GermanicNorth,,,_,,,,,,,,8,2,1,0,Germanic,North-West,North Germanic,
5,Italic,00EE00,Itc,True,False,Italic,,,_,,,,,,,,9,0,0,0,Italic,,,
11,Balto-Slavic,EE7600,BSv,True,False,BaltoSlavic,,,_,,,,,,,,7,0,0,0,Balto-Slavic,,,
12,Slavic,FF6000,,True,False,Slavic,,,_,,,,,,,,7,2,0,0,Balto-Slavic,Slavic,,
15,Celtic,006400,Celt,True,False,Celtic,,,_,,,,,,,,10,0,0,0,Celtic,,,
16,Goidelic,008B00,,True,False,CelticGoidelic,,,_,,,,,,,,10,3,0,0,Celtic,Goidelic,,
17,Brythonic,2E8B57,,True,False,CelticBrythonic,,,_,,,,,,,,10,2,0,0,Celtic,Brythonic,,
21,Hellenic,00BFFF,Grk,True,False,Hellenic,,,_,,,,,,,,3,0,0,0,Hellenic,,,
22,Anatolian,8B4513,Atl,True,False,Anatolian,,,_,,,,,,,,1,0,0,0,Anatolian,,,
23,Iranic,FF3E96,,True,False,Iranic,,,_,,,,,,,,6,3,0,0,Indo-Iranic,Iranic,,
24,Indic,B0171F,,True,False,Indic,,,_,,,,,,,,6,1,0,0,Indo-Iranic,,,
27,Nuristani,DC143C,,True,False,Nuristani,,,_,,,,,,,,6,2,0,0,Indo-Iranic,Nuristani,,
29,Baltic,FFBB00,,True,False,Baltic,,,_,,,,,,,,7,1,0,0,Balto-Slavic,Baltic,,
30,Albanian,999999,Alb,True,False,Albanian,,,_,,,,,,,,5,0,0,0,Albanian,,,
31,Armenian,800080,Arm,True,False,Armenian,,,_,,,,,,,,4,0,0,0,Armenian,,,
32,Tocharian,F4A488,Tch,True,False,Tocharian,,,_,,,,,,,,2,0,0,0,Tocharian,,,
33,Indo-Iranic,EE0000,IIc,True,False,IndoIranic,,,_,,,,,,,,6,0,0,0,Indo-Iranic,,,
34,Romance,76EE00,,False,False,ItalicRomancePara,,,_,,,,,,,,9,1,1,0,Italic,Roman,Romance,
35,Sabellic,ADFF24,,True,False,ItalicSabellic,,,_,,,,,,,,9,2,0,0,Italic,Sabellic,,
36,East Germanic,27408B,,True,False,GermanicEast,,,_,,,,,,,,8,1,0,0,Germanic,East Germanic,,
37,North-West,0000CD,,True,False,GermanicNorthWest,,,_,,,,,,,,8,2,0,0,Germanic,North-West,,
38,Baltic West,FFCC88,,False,False,BalticWest,,,_,,,,,,,,7,1,2,0,Balto-Slavic,Baltic,Baltic West,
39,Continental,006400,,True,False,CelticContinental,,,_,,,,,,,,10,1,0,0,Celtic,Continental,,
40,Anglic,6495ED,,False,False,GermanicAnglic,,,_,,,,,,,,8,2,2,1,Germanic,North-West,West Germanic,Anglic
42,Modern Hellenic,00BFFF,,False,False,HellenicModern,,,_,,,,,,,,3,2,0,0,Hellenic,Modern Hellenic,,
43,Ancient Hellenic,00BFFF,,False,False,HellenicAncient,,,_,,,,,,,,3,1,0,0,Hellenic,Ancient Hellenic,,
45,Slavic South,E68A00,,True,False,SlavicSouth,,,_,,,,,,,,7,2,1,0,Balto-Slavic,Slavic,Slavic South,
46,Slavic West,FFAD33,,True,False,SlavicWest,,,_,,,,,,,,7,2,2,0,Balto-Slavic,Slavic,Slavic West,
47,Slavic East,FFCC80,,True,False,SlavicEast,,,_,,,,,,,,7,2,3,0,Balto-Slavic,Slavic,Slavic East,
48,Breton,2E8B57,,False,False,CelticBretonMonoOrig,,,_,,,,,,,,10,2,3,0,Celtic,Brythonic,Breton,
49,Welsh,2E8B57,,False,False,CelticBrythonicWelsh,,,_,,,,,,,,10,2,1,0,Celtic,Brythonic,Welsh,
50,Cornish,2E8B57,,False,False,CelticBrythonicCornish,,,_,,,,,,,,10,2,2,0,Celtic,Brythonic,Cornish,
51,Roman,76EE00,,True,False,Roman,,,_,,,,,,,,9,1,0,0,Italic,Roman,,
52,Baltic East,FFCC88,,False,False,BalticEast,,,_,,,,,,,,7,1,1,0,Balto-Slavic,Baltic,Baltic East,
53,High German,6495ED,,False,False,GermanicHighGerman,,,_,,,,,,,,8,2,2,4,Germanic,North-West,West Germanic,High German
54,Frisian,6495ED,,False,False,GermanicFrisian,,,_,,,,,,,,8,2,2,2,Germanic,North-West,West Germanic,Frisian
55,South-Western Iranic,FF3E96,,False,False,IranicSouthWestern,,,_,,,,,,,,6,3,1,0,Indo-Iranic,Iranic,South-Western,
56,Dutch,6495ED,,False,False,GermanicDutch,,,_,,,,,,,,8,2,2,3,Germanic,North-West,West Germanic,Dutch
