id,symbol
272,a
273,ā
274,ă
275,á
276,à
277,â
278,å
279,ḁ
280,ä
281,ã
282,ą
283,ɑ
284,æ
285,ǣ
286,e
287,ē
288,ĕ
289,é
290,è
291,ê
292,ě
293,ė
294,ë
295,ẽ
296,ę
297,ḗ
298,ɜ
299,ə
300,ɛ
301,i
302,ī
303,ĭ
304,í
305,ì
306,î
307,ï
308,ĩ
309,į
310,ḯ
311,ɪ
312,ɨ
313,y
314,ȳ
315,ý
316,ŷ
317,ẏ
318,ÿ
319,ỹ
320,o
321,ō
322,ó
323,ò
324,ô
325,ọ
326,ö
327,õ
328,ǫ
329,ṓ
330,ø
331,ɔ
332,œ
333,u
334,ū
335,ŭ
336,ú
337,ù
338,û
339,ǔ
340,ů
341,ü
342,ũ
343,ų
344,ǖ
345,ǘ
346,ʉ
347,ʊ
348,ʌ
349,w
350,ŵ
351,r
352,ŕ
353,ř
354,ṙ
355,ṛ
356,ŗ
357,ʁ
358,l
359,ľ
360,ḷ
361,ł
362,ɫ
363,ʎ
364,m
365,ṁ
366,ṃ
367,n
368,ń
369,ň
370,ṅ
371,ṇ
372,ñ
373,ņ
374,ŋ
375,β
376,ɸ
377,v
378,f
379,z
380,ž
381,ź
382,ż
383,ẓ
384,ʒ
385,s
386,ś
387,ŝ
388,š
389,ṡ
390,ṣ
391,ş
392,ß
393,ſ
394,ẛ
395,x
396,χ
397,h
398,ḥ
399,ḫ
400,ẖ
401,ƕ
402,b
403,p
404,ṕ
405,d
406,ď
407,ḍ
408,đ
409,ð
410,t
411,ť
412,ṭ
413,ṯ
414,ʈ
415,θ
416,þ
417,j
418,ǰ
419,c
420,ć
421,č
422,ċ
423,ç
424,g
425,ǵ
426,ǧ
427,ġ
428,ģ
429,ɡ
430,ɣ
431,k
432,ḱ
433,ķ
434,q
435,ъ
436,ы
437,", "
438,-
439,(
440,)
441,","
442,'
443,*
444,?
445,≠
446,/
447,ː
448,;
449,·
450,′
451,″
452, 
453,̀
454,̀
455,̀
456,̀
457,ω
458,ω
459,ʰ
460,ʰ
461,ʰ
462,̯
463,ⁿ
